label,count_train,count_val,count_test,total_count
Beethoven 9th Symphony Op 125 I Allegro Ma Non Troppo un Poco Maestoso,46,6,6,58
Symphony No 3 in F Major Op 90 II Andante,38,5,4,47
Symphony No 3 in F Major Op 90 I Allegro con brio,36,5,4,45
Fantasia in D minor K 397,32,4,4,40
Piano Sonata no 2 in Bflat minor Funeral March op 35 MOV 3,30,4,3,37
Symphony no 1 in C major Op 21 I Adagio molto allegro con brio,30,4,3,37
Nocturne in Csharp minor Lento con gran espressione B 49 Op posth,27,4,3,34
Symphony no 2 in D major Op 73 I Allegro non troppo,27,4,3,34
Symphony No 1 in C minor Op 68 IV Adagio Piu andante Allegro non troppo ma con brio,26,3,3,32
Symphony No 1 in C minor Op 68 I Un poco sostenuto Allegro,25,3,3,31
Symphony no 6 in B minor Pathtique Op 74 I Adagio Allegro non troppo Andante,22,3,3,28
Piano Sonata no 2 in Bflat minor Funeral March op 35 MOV 2,22,3,3,28
Nocturnes Op 37 N 1,22,3,2,27
Sinfona n 7 de Beethoven Op 92 1 Poco sostenuto vivace,21,2,3,26
Mazurkas Op 17 N 4,20,2,3,25
Beethoven 9th Symphony Op 125 III Adagio Molto e Cantabile,19,2,3,24
Nocturnes Op 48 N 2,19,2,3,24
Symphony no 2 in D Major Op 36 IV Allegro molto,19,3,2,24
Symphony no 1 in C major Op 21 IV Adagio Allegro molto e vivace,19,2,3,24
Beethoven Symphony no 1 in C major Op 21 IV Adagio Allegro molto e vivace,19,2,3,24
Ballade no 4 Op 52,18,2,3,23
Romeo and Juliet OvertureFantasia,18,2,2,22
Symphony No 4 in E Minor Op 98 IV Allegro energico e passionato,18,2,2,22
Symphony No 4 in E Minor Op 98 II Andante moderato,18,2,2,22
Piano Sonata no 2 in Bflat minor Funeral March op 35 MOV 1,17,2,2,21
Symphony no 2 in D major Op 73 IV Allegro Con Spirito,17,2,2,21
Dvok Symphony no 8 Op 88 I Allegro con brio,16,2,2,20
Piano Sonata no 3 K 281 3 Rondo Allegro,16,2,2,20
Symphony no 6 in B minor Pathtique Op 74 IV Finale Adagio lamentoso Andante,16,2,2,20
Beethoven 9th Symphony Op 125 IV Presto Allegro Assai,16,2,2,20
Nocturnes Op 62 N 2,15,2,2,19
Beethoven Symphony no 1 in C major Op 21 II Andante cantabile con moto,15,2,2,19
Symphony no 1 in C major Op 21 II Andante cantabile con moto,15,2,2,19
Beethoven 9th Symphony Op 125 II Scherzo Molto Vivace Presto,14,2,2,18
Rondo in A minor K 511,14,2,2,18
Symphony no 2 in D major Op 73 II Adagio non toppo,14,2,2,18
Beethoven Symphony no 1 in C major Op 21 I Adagio molto allegro con brio,14,2,2,18
N 3 | Etudes Op 10,14,1,2,17
Polonaise No 2 in C Minor Op 40,14,1,2,17
